example_id,question_id,ground_truth_label,greedy_answer,raw_argmax_t0,raw_argmax_t07,raw_argmax_t1,semantic_argmax_t0,semantic_argmax_t07,semantic_argmax_t1,p_yes_t0,p_no_t0,yes_gt_no_t0,p_yes_t07,p_no_t07,yes_gt_no_t07,p_yes_t1,p_no_t1,yes_gt_no_t1,mc_answer,mc_yes_no_answer,mc_p_yes,mc_p_no,mc_yes_gt_no,raw_answer_probs_t0_json,raw_answer_probs_t07_json,raw_answer_probs_t1_json,answer_probs_t0_json,answer_probs_t07_json,answer_probs_t1_json,mc_answer_probs_json
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,wall_right,no,no,B,B,B,no,no,no,8.026140150910464e-10,0.9999999939636852,False,4.678811484408349e-14,0.9999999999993833,False,1.1079744388172112e-08,0.9999999778405112,False,no,no,0.0,0.9999999999999999,False,"{""A"": 8.026140150910463e-10, ""B"": 0.9999999939636851, ""C"": 5.2337008158506165e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 4.6788114844083485e-14, ""B"": 0.9999999999993832, ""C"": 5.699959265207476e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.1079744388172112e-08, ""B"": 0.999999977505932, ""C"": 1.1079744388172112e-08, ""no"": 3.34579289510915e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999939636852, ""unknown"": 5.233700815850617e-09, ""yes"": 8.026140150910464e-10}","{""invalid"": 0.0, ""no"": 0.9999999999993833, ""unknown"": 5.699959265207477e-13, ""yes"": 4.678811484408349e-14}","{""invalid"": 0.0, ""no"": 0.9999999778405112, ""unknown"": 1.1079744388172112e-08, ""yes"": 1.1079744388172112e-08}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,wall_left,no,yes,A,B,B,yes,no,no,0.9999999963754952,1.925370925753232e-09,True,4.678802560289793e-14,0.9999999999982891,False,1.6991340552217695e-09,0.9999999840741907,False,yes,yes,0.6,0.4,True,"{""A"": 0.9999999955728812, ""B"": 1.925370925753232e-09, ""C"": 1.6991338783036623e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 8.026140127397719e-10}","{""A"": 4.678802560289793e-14, ""B"": 0.9999999999982891, ""C"": 1.664126443125173e-12, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.6991340552217695e-09, ""B"": 0.9999999840741907, ""C"": 1.4226675262957848e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 1.925370925753232e-09, ""unknown"": 1.6991338783036623e-09, ""yes"": 0.9999999963754952}","{""invalid"": 0.0, ""no"": 0.9999999999982891, ""unknown"": 1.664126443125173e-12, ""yes"": 4.678802560289793e-14}","{""invalid"": 0.0, ""no"": 0.9999999840741907, ""unknown"": 1.4226675262957848e-08, ""yes"": 1.6991340552217695e-09}","{""invalid"": 0.0, ""no"": 0.4, ""unknown"": 0.0, ""yes"": 0.6}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,wall_up,no,no,B,B,B,no,no,no,4.29608324662278e-10,0.9999999967689935,False,3.529914122392677e-10,0.999999999638707,False,4.29608326785076e-10,0.9999999959733252,False,no,no,0.0,0.9999999999999999,False,"{""A"": 4.2960832466227794e-10, ""B"": 0.9999999967689934, ""C"": 2.801398177710769e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 3.529914122392677e-10, ""B"": 0.9999999996380255, ""C"": 8.301578156385487e-12, ""no"": 6.81435031543091e-13, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 4.29608326785076e-10, ""B"": 0.9999999959733252, ""C"": 3.5970664802173197e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999967689935, ""unknown"": 2.8013981777107694e-09, ""yes"": 4.29608324662278e-10}","{""invalid"": 0.0, ""no"": 0.999999999638707, ""unknown"": 8.301578156385487e-12, ""yes"": 3.529914122392677e-10}","{""invalid"": 0.0, ""no"": 0.9999999959733252, ""unknown"": 3.5970664802173197e-09, ""yes"": 4.29608326785076e-10}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,wall_down,no,no,B,B,B,no,no,no,2.8575022482758183e-07,0.999999690793946,False,2.334039653233678e-13,0.9999999999990852,False,1.3232867974605928e-09,0.9999999927461533,False,no,no,0.0,0.9999999999999999,False,"{""A"": 2.8575022482758183e-07, ""B"": 0.9999996876195447, ""C"": 2.345582918096202e-08, ""no"": 3.1744012857551005e-09, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 2.334039653233678e-13, ""B"": 0.9999999999990852, ""C"": 6.814337320567028e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.3232867974605928e-09, ""B"": 0.9999999927461533, ""C"": 5.930559977101799e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.999999690793946, ""unknown"": 2.345582918096202e-08, ""yes"": 2.8575022482758183e-07}","{""invalid"": 0.0, ""no"": 0.9999999999990852, ""unknown"": 6.814337320567028e-13, ""yes"": 2.334039653233678e-13}","{""invalid"": 0.0, ""no"": 0.9999999927461533, ""unknown"": 5.930559977101799e-09, ""yes"": 1.3232867974605928e-09}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,wall_right,no,no,B,B,B,no,no,no,1.6991338760979467e-09,0.9999999930671654,False,6.687135567146737e-14,0.9999999999991185,False,1.030576907253511e-09,0.9999999903405083,False,no,no,0.0,0.9999999999999999,False,"{""A"": 1.6991338760979467e-09, ""B"": 0.9999999930671654, ""C"": 5.233700793724299e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 6.687135567146737e-14, ""B"": 0.9999999999991185, ""C"": 8.146614404536081e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.030576907253511e-09, ""B"": 0.9999999903405083, ""C"": 8.628914798064887e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999930671654, ""unknown"": 5.233700793724299e-09, ""yes"": 1.6991338760979467e-09}","{""invalid"": 0.0, ""no"": 0.9999999999991185, ""unknown"": 8.146614404536081e-13, ""yes"": 6.687135567146737e-14}","{""invalid"": 0.0, ""no"": 0.9999999903405083, ""unknown"": 8.628914798064887e-09, ""yes"": 1.030576907253511e-09}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,wall_left,no,no,B,B,B,no,no,no,4.868100106682553e-10,0.9999999967117918,False,1.6025815895064244e-14,0.9999999999996504,False,1.9253709246216073e-09,0.9999999921440691,False,no,no,0.2,0.7999999999999999,False,"{""A"": 4.868100106682553e-10, ""B"": 0.9999999967117918, ""C"": 2.8013981900979203e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.602581589506424e-14, ""B"": 0.9999999999996503, ""C"": 3.335911090326491e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.9253709246216073e-09, ""B"": 0.9999999921440691, ""C"": 5.930559962436363e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999967117918, ""unknown"": 2.8013981900979203e-09, ""yes"": 4.868100106682553e-10}","{""invalid"": 0.0, ""no"": 0.9999999999996504, ""unknown"": 3.3359110903264914e-13, ""yes"": 1.6025815895064244e-14}","{""invalid"": 0.0, ""no"": 0.9999999921440691, ""unknown"": 5.930559962436363e-09, ""yes"": 1.9253709246216073e-09}","{""invalid"": 0.0, ""no"": 0.7999999999999999, ""unknown"": 0.0, ""yes"": 0.2}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,wall_up,no,no,B,B,B,no,no,no,1.4994803817382079e-09,0.9999999859455241,False,1.6025815895053742e-14,0.999999999999414,False,2.0293260286860805e-10,0.9999999921820777,False,no,no,0.0,0.9999999999999999,False,"{""A"": 1.4994803817382079e-09, ""B"": 0.9999999858224392, ""C"": 1.2554995521751952e-08, ""no"": 1.2308484507154404e-10, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.6025815895053742e-14, ""B"": 0.999999999999414, ""C"": 5.69995926521055e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 2.0293260286860802e-10, ""B"": 0.9999999921820776, ""C"": 7.614989742701769e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999859455241, ""unknown"": 1.2554995521751952e-08, ""yes"": 1.4994803817382079e-09}","{""invalid"": 0.0, ""no"": 0.999999999999414, ""unknown"": 5.69995926521055e-13, ""yes"": 1.6025815895053742e-14}","{""invalid"": 0.0, ""no"": 0.9999999921820777, ""unknown"": 7.61498974270177e-09, ""yes"": 2.0293260286860805e-10}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,wall_down,yes,yes,A,A,B,yes,yes,no,0.999999981514433,5.930563628813903e-09,True,0.9999999999998863,4.678802560267645e-14,True,2.472225162367061e-09,0.9999999709488495,False,yes,yes,0.6,0.4,True,"{""A"": 0.9999999798152981, ""B"": 5.930563628813903e-09, ""C"": 1.2555003300721558e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 1.6991349277397591e-09}","{""A"": 0.9999999999998064, ""B"": 4.678802560267645e-14, ""C"": 6.687135567112933e-14, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 7.994528075984907e-14}","{""A"": 2.472225162367061e-09, ""B"": 0.9999999709488495, ""C"": 2.6578925319558034e-08, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 5.930563628813903e-09, ""unknown"": 1.2555003300721558e-08, ""yes"": 0.999999981514433}","{""invalid"": 0.0, ""no"": 4.678802560267645e-14, ""unknown"": 6.687135567112933e-14, ""yes"": 0.9999999999998863}","{""invalid"": 0.0, ""no"": 0.9999999709488495, ""unknown"": 2.6578925319558034e-08, ""yes"": 2.472225162367061e-09}","{""invalid"": 0.0, ""no"": 0.4, ""unknown"": 0.0, ""yes"": 0.6}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,wall_right,no,no,B,B,B,no,no,no,6.250764242443128e-10,0.9999999926547187,False,4.141268070332e-11,0.9999999999467224,False,1.2308484666314596e-10,0.9999999976951841,False,no,no,0.0,0.9999999999999999,False,"{""A"": 6.250764242443127e-10, ""B"": 0.9999999926547186, ""C"": 6.720204879356064e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 4.141268070332e-11, ""B"": 0.9999999999466664, ""C"": 1.186493167234061e-11, ""no"": 5.593559364386547e-14, ""unknown"": 0.0, ""yes"": 0.0}","{""A"": 1.2308484666314596e-10, ""B"": 0.9999999976951841, ""C"": 2.181731110029335e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.0}","{""invalid"": 0.0, ""no"": 0.9999999926547187, ""unknown"": 6.720204879356065e-09, ""yes"": 6.250764242443128e-10}","{""invalid"": 0.0, ""no"": 0.9999999999467224, ""unknown"": 1.186493167234061e-11, ""yes"": 4.141268070332e-11}","{""invalid"": 0.0, ""no"": 0.9999999976951841, ""unknown"": 2.181731110029335e-09, ""yes"": 1.2308484666314596e-10}","{""invalid"": 0.0, ""no"": 0.9999999999999999, ""unknown"": 0.0, ""yes"": 0.0}"
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,wall_left,yes,yes,A,A,A,yes,yes,yes,0.9999999952732309,2.801398162710766e-09,True,0.9999999999977933,1.391984648185533e-12,True,0.9999999952732309,2.801398163539194e-09,True,yes,yes,0.9999999999999999,0.0,True,"{""A"": 0.9999999944706169, ""B"": 2.801398162710766e-09, ""C"": 1.925370922855837e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 8.026140115319578e-10}","{""A"": 0.9999999999973166, ""B"": 1.391984648185533e-12, ""C"": 8.146598865976668e-13, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 4.767811179161317e-13}","{""A"": 0.99999999436375, ""B"": 2.8013981635391935e-09, ""C"": 1.925370923425206e-09, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 9.094808258461488e-10}","{""invalid"": 0.0, ""no"": 2.801398162710766e-09, ""unknown"": 1.925370922855837e-09, ""yes"": 0.9999999952732309}","{""invalid"": 0.0, ""no"": 1.391984648185533e-12, ""unknown"": 8.146598865976668e-13, ""yes"": 0.9999999999977933}","{""invalid"": 0.0, ""no"": 2.801398163539194e-09, ""unknown"": 1.9253709234252063e-09, ""yes"": 0.9999999952732309}","{""invalid"": 0.0, ""no"": 0.0, ""unknown"": 0.0, ""yes"": 0.9999999999999999}"
