question_id,representation,progress_bucket_10,n_positions,accuracy,balanced_accuracy
has_key,boundary_window_mean,0,48,0.8958333333333334,0.8958333333333334
has_key,boundary_window_mean,1,65,0.5692307692307692,0.5725806451612903
has_key,boundary_window_mean,2,77,0.5844155844155844,0.5858108108108109
has_key,boundary_window_mean,3,68,0.5882352941176471,0.5882352941176471
has_key,boundary_window_mean,4,67,0.582089552238806,0.5806595365418895
has_key,boundary_window_mean,5,69,0.5652173913043478,0.565546218487395
has_key,boundary_window_mean,6,67,0.5373134328358209,0.5369875222816399
has_key,boundary_window_mean,7,68,0.7205882352941176,0.7205882352941178
has_key,boundary_window_mean,8,77,0.6753246753246753,0.6753378378378379
has_key,boundary_window_mean,9,65,0.6461538461538462,0.644686907020873
has_key,boundary_window_mean,10,48,0.6041666666666666,0.6041666666666666
has_key,last_token,0,48,0.6458333333333334,0.6458333333333334
has_key,last_token,1,65,0.6615384615384615,0.6622390891840607
has_key,last_token,2,77,0.6493506493506493,0.6503378378378378
has_key,last_token,3,68,0.6470588235294118,0.6470588235294118
has_key,last_token,4,67,0.582089552238806,0.5815508021390374
has_key,last_token,5,69,0.5217391304347826,0.5205882352941176
has_key,last_token,6,67,0.6119402985074627,0.6122994652406417
has_key,last_token,7,68,0.6323529411764706,0.6323529411764706
has_key,last_token,8,77,0.6363636363636364,0.6358108108108108
has_key,last_token,9,65,0.6923076923076923,0.6916508538899431
has_key,last_token,10,48,0.6666666666666666,0.6666666666666667
has_key,sentence_mean,0,48,0.6041666666666666,0.6041666666666666
has_key,sentence_mean,1,65,0.7692307692307693,0.7694497153700189
has_key,sentence_mean,2,77,0.7662337662337663,0.768918918918919
has_key,sentence_mean,3,68,0.75,0.75
has_key,sentence_mean,4,67,0.7313432835820896,0.732174688057041
has_key,sentence_mean,5,69,0.4492753623188406,0.4504201680672269
has_key,sentence_mean,6,67,0.6119402985074627,0.6118538324420677
has_key,sentence_mean,7,68,0.75,0.75
has_key,sentence_mean,8,77,0.8181818181818182,0.818918918918919
has_key,sentence_mean,9,65,0.7384615384615385,0.74146110056926
has_key,sentence_mean,10,48,0.7083333333333334,0.7083333333333333
wall_down,boundary_window_mean,0,48,0.875,0.8571428571428572
wall_down,boundary_window_mean,1,65,0.6461538461538462,0.4758771929824561
wall_down,boundary_window_mean,2,77,0.5454545454545454,0.5016339869281046
wall_down,boundary_window_mean,3,68,0.3235294117647059,0.327683615819209
