transition_family,model_type,feature,standardized_coefficient
optimal_to_suboptimal,baseline,reasoning_progress,-0.35720354318618774
optimal_to_suboptimal,global_beliefs,reasoning_progress,-0.36149123311042786
optimal_to_suboptimal,global_beliefs,error_wall_left,-0.06302560120820999
optimal_to_suboptimal,global_beliefs,error_wall_right,0.093827024102211
optimal_to_suboptimal,global_beliefs,error_wall_up,0.08862098306417465
optimal_to_suboptimal,global_beliefs,error_wall_down,-0.144809752702713
optimal_to_suboptimal,global_beliefs,error_has_key,-0.02692384086549282
optimal_to_suboptimal,belief_dynamics,reasoning_progress,-0.35952767729759216
optimal_to_suboptimal,belief_dynamics,n_global_belief_changes,0.05411716178059578
optimal_to_suboptimal,belief_dynamics,n_global_error_onsets,0.025646505877375603
optimal_to_suboptimal,belief_dynamics,n_global_error_recoveries,0.025273233652114868
optimal_to_suboptimal,global_beliefs_and_dynamics,reasoning_progress,-0.36398494243621826
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_left,-0.07025043666362762
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_right,0.0905352532863617
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_up,0.08924982696771622
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_down,-0.1483399122953415
optimal_to_suboptimal,global_beliefs_and_dynamics,error_has_key,-0.04890146106481552
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_belief_changes,0.05796040594577789
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_onsets,0.044575948268175125
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_recoveries,0.025047633796930313
optimal_to_suboptimal,action_conditioned,reasoning_progress,-0.3567045331001282
optimal_to_suboptimal,action_conditioned,chosen_wall_error,0.08502741903066635
optimal_to_suboptimal,action_conditioned,chosen_wall_reports_blocked,-0.00012889500067103654
optimal_to_suboptimal,action_conditioned,chosen_effect_error,-0.031348783522844315
optimal_to_suboptimal,action_conditioned,chosen_effect_reports_hit,-0.008913468569517136
optimal_to_suboptimal,combined,reasoning_progress,-0.36135342717170715
optimal_to_suboptimal,combined,error_wall_left,-0.06966804713010788
optimal_to_suboptimal,combined,error_wall_right,0.08056706935167313
optimal_to_suboptimal,combined,error_wall_up,0.08303242176771164
optimal_to_suboptimal,combined,error_wall_down,-0.1517723649740219
optimal_to_suboptimal,combined,error_has_key,-0.026843685656785965
optimal_to_suboptimal,combined,chosen_wall_error,0.08449430763721466
optimal_to_suboptimal,combined,chosen_wall_reports_blocked,0.0004802218172699213
optimal_to_suboptimal,combined,chosen_effect_error,-0.028419574722647667
optimal_to_suboptimal,combined,chosen_effect_reports_hit,-0.007274425122886896
optimal_to_suboptimal,belief_action_chain,reasoning_progress,-0.3614707589149475
optimal_to_suboptimal,belief_action_chain,error_wall_left,-0.06975574046373367
optimal_to_suboptimal,belief_action_chain,error_wall_right,0.08055885881185532
optimal_to_suboptimal,belief_action_chain,error_wall_up,0.08310674130916595
optimal_to_suboptimal,belief_action_chain,error_wall_down,-0.15187710523605347
optimal_to_suboptimal,belief_action_chain,error_has_key,-0.026740917935967445
optimal_to_suboptimal,belief_action_chain,chosen_wall_error,0.08458682894706726
optimal_to_suboptimal,belief_action_chain,chosen_wall_reports_blocked,-8.24598828330636e-07
optimal_to_suboptimal,belief_action_chain,chosen_effect_error,-0.02855193242430687
optimal_to_suboptimal,belief_action_chain,chosen_effect_reports_hit,-0.0072574131190776825
optimal_to_suboptimal,belief_action_chain,blocked_report*predicted_hit,-1.2203818187117577e-06
optimal_to_suboptimal,belief_action_chain,chosen_wall_error*chosen_effect_error,-2.6276393327862024e-07
suboptimal_to_optimal,baseline,reasoning_progress,-0.07349078357219696
suboptimal_to_optimal,global_beliefs,reasoning_progress,-0.040077440440654755
suboptimal_to_optimal,global_beliefs,error_wall_left,-0.1166570633649826
suboptimal_to_optimal,global_beliefs,error_wall_right,-0.10577314347028732
suboptimal_to_optimal,global_beliefs,error_wall_up,0.2562207579612732
suboptimal_to_optimal,global_beliefs,error_wall_down,0.072002112865448
suboptimal_to_optimal,global_beliefs,error_has_key,-0.09937391430139542
suboptimal_to_optimal,belief_dynamics,reasoning_progress,-0.07421162724494934
suboptimal_to_optimal,belief_dynamics,n_global_belief_changes,0.036967068910598755
suboptimal_to_optimal,belief_dynamics,n_global_error_onsets,-0.02967289835214615
suboptimal_to_optimal,belief_dynamics,n_global_error_recoveries,0.03523588553071022
suboptimal_to_optimal,global_beliefs_and_dynamics,reasoning_progress,-0.03848257288336754
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_left,-0.12326278537511826
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_right,-0.11047843098640442
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_up,0.25561732053756714
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_down,0.06625912338495255
suboptimal_to_optimal,global_beliefs_and_dynamics,error_has_key,-0.11285374313592911
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_belief_changes,0.05060461908578873
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_error_onsets,0.0030508674681186676
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_error_recoveries,0.03233284503221512
suboptimal_to_optimal,action_conditioned,reasoning_progress,-0.06533315032720566
suboptimal_to_optimal,action_conditioned,chosen_wall_error,0.0009763413108885288
suboptimal_to_optimal,action_conditioned,chosen_wall_reports_blocked,-0.017072603106498718
suboptimal_to_optimal,action_conditioned,chosen_effect_error,0.03174388036131859
suboptimal_to_optimal,action_conditioned,chosen_effect_reports_hit,-0.14637374877929688
suboptimal_to_optimal,combined,reasoning_progress,-0.03771304339170456
suboptimal_to_optimal,combined,error_wall_left,-0.11181288957595825
suboptimal_to_optimal,combined,error_wall_right,-0.10220221430063248
suboptimal_to_optimal,combined,error_wall_up,0.25201424956321716
suboptimal_to_optimal,combined,error_wall_down,0.06883423775434494
suboptimal_to_optimal,combined,error_has_key,-0.092402882874012
suboptimal_to_optimal,combined,chosen_wall_error,-0.017024807631969452
suboptimal_to_optimal,combined,chosen_wall_reports_blocked,-0.018176095560193062
suboptimal_to_optimal,combined,chosen_effect_error,0.02526767924427986
suboptimal_to_optimal,combined,chosen_effect_reports_hit,-0.1132933720946312
suboptimal_to_optimal,belief_action_chain,reasoning_progress,-0.037288177758455276
suboptimal_to_optimal,belief_action_chain,error_wall_left,-0.11247759312391281
suboptimal_to_optimal,belief_action_chain,error_wall_right,-0.10258568078279495
suboptimal_to_optimal,belief_action_chain,error_wall_up,0.2515379786491394
suboptimal_to_optimal,belief_action_chain,error_wall_down,0.06865184009075165
suboptimal_to_optimal,belief_action_chain,error_has_key,-0.09241017699241638
suboptimal_to_optimal,belief_action_chain,chosen_wall_error,-0.026539577171206474
suboptimal_to_optimal,belief_action_chain,chosen_wall_reports_blocked,-0.01333960983902216
suboptimal_to_optimal,belief_action_chain,chosen_effect_error,0.014810614287853241
suboptimal_to_optimal,belief_action_chain,chosen_effect_reports_hit,-0.11141589283943176
suboptimal_to_optimal,belief_action_chain,blocked_report*predicted_hit,-0.013109524734318256
suboptimal_to_optimal,belief_action_chain,chosen_wall_error*chosen_effect_error,0.022387519478797913
